nohup: ignoring input
[2025-07-11 13:44:56] INFO: Starting pipeline (test=False, size=10)
[2025-07-11 13:44:56] INFO: → Loading HF dataset AILAB-VNUHCM/vivos:train
[2025-07-11 13:45:00] INFO: [utt_000000] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000001] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000002] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000003] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000004] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000005] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000006] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000007] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000008] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000009] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000010] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000011] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000012] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000013] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000014] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000015] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000016] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000017] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000018] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000019] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000020] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000021] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000022] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000023] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000024] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000025] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000026] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000027] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000028] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000029] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000030] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000031] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000032] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000033] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000034] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000035] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000036] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000037] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000038] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000039] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000040] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000041] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000042] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000043] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000044] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000045] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000046] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000047] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000048] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000049] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000050] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000051] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000052] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000053] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000054] Cached WAV found, skipping save
[2025-07-11 13:45:00] INFO: [utt_000055] Cached WAV found, skipping save
